"min116-contents-ID","発言ID","発言者","発言原文","内容","言及あり","他の委員の発言参照","参照されたページ・行","理由"
1,"min116-u1","#東岡室長","それでは定刻になりましたので、ただいまから、中央環境審議会第116回総合政策部会を開催いたします。 まず、委員総数31名のところ、25名の委員にご出席いただいており、定足数の要件を満たし、部会として成立していることをご報告いたします。 本日の会議は中央環境審議会の運営方針に基づき公開とさせていただいておりますので、環境省公式動画チャンネルのサブチャンネルでライブ配信を行っております。 本日は、ウェブ会議システムとのハイブリッド開催とさせていただいております。ウェブよりご参加の委員におきましては、各自、発言時のみ、ライブカメラの映像とマイク機能をオンにしていただきますようお願いいたします。また、会場の声が聞こえにくいなどがございましたら、チャット機能などでお知らせください。 会議資料につきましては、議事次第の下、資料一覧に記載のとおりでございますので、ご確認いただき、もし不足している資料などがございましたら事務局までお申しつけいただきますようお願いいたします。 なお、今回、本日ご欠席の井上委員から事前意見をいただいておりますので、併せて配付させていただいております。 本日の資料は、環境省ホームページ、総合政策部会のページにアップロードしております。 それでは、今後の進行は高村部会長にお願いいたします。","それでは定刻になりましたので、ただいまから、中央環境審議会第116回総合政策部会を開催いたします。 まず、委員総数31名のところ、25名の委員にご出席いただいており、定足数の要件を満たし、部会として成立していることをご報告いたします。 本日の会議は中央環境審議会の運営方針に基づき公開とさせていただいておりますので、環境省公式動画チャンネルのサブチャンネルでライブ配信を行っております。 本日は、ウェブ会議システムとのハイブリッド開催とさせていただいております。ウェブよりご参加の委員におきましては、各自、発言時のみ、ライブカメラの映像とマイク機能をオンにしていただきますようお願いいたします。また、会場の声が聞こえにくいなどがございましたら、チャット機能などでお知らせください。 会議資料につきましては、議事次第の下、資料一覧に記載のとおりでございますので、ご確認いただき、もし不足している資料などがございましたら事務局までお申しつけいただきますようお願いいたします。 なお、今回、本日ご欠席の井上委員から事前意見をいただいておりますので、併せて配付させていただいております。 本日の資料は、環境省ホームページ、総合政策部会のページにアップロードしております。 それでは、今後の進行は高村部会長にお願いいたします。","No","No",,"発言内容は会議の開催案内や進行、資料配布、出席状況などに関するものであり、環境基本計画の案の変更箇所や内容についての言及は一切含まれていないため。"
2,"min116-u2","高村ゆかり","それでは、ただいまから議事に入ってまいります。 ２月26日、前回開催いたしました総合政策部会におきまして、第六次環境基本計画の案について、ご議論をいただきました。その際に委員の皆様からいただいた多くの意見、こちらを反映した形で３月12日に第六次環境基本計画案を公表して、それについての意見募集を行ってまいりました。 本日は、意見募集で皆様からいただきました意見などを踏まえて、それをさらに案に反映した形で修正したものを第六次環境基本計画の答申案としてお示ししております。 まず、意見募集の様子といいましょうか、結果と、それから前回、２月の部会でお示しした後の計画案からの変更点を中心に、事務局から、まずご説明いただきたいと思います。その上で、総合政策部会の委員の皆様から答申案についての審議ということをお願いしたいと思います。 それでは、資料１－１、続いて資料２－２まで、一連のたくさんの資料について、事務局からご説明をお願いできればと思います。よろしくお願いいたします。","その際に委員の皆様からいただいた多くの意見、こちらを反映した形で３月12日に第六次環境基本計画案を公表して、それについての意見募集を行ってまいりました。本日は、意見募集で皆様からいただきました意見などを踏まえて、それをさらに案に反映した形で修正したものを第六次環境基本計画の答申案としてお示ししております。","Yes","Yes",,"委員からの意見を反映して計画案を修正したこと、さらに意見募集の意見を踏まえて再度修正したことに言及しており、環境基本計画案の変更内容について述べているため。"
3,"min116-u2","高村ゆかり","それでは、ただいまから議事に入ってまいります。 ２月26日、前回開催いたしました総合政策部会におきまして、第六次環境基本計画の案について、ご議論をいただきました。その際に委員の皆様からいただいた多くの意見、こちらを反映した形で３月12日に第六次環境基本計画案を公表して、それについての意見募集を行ってまいりました。 本日は、意見募集で皆様からいただきました意見などを踏まえて、それをさらに案に反映した形で修正したものを第六次環境基本計画の答申案としてお示ししております。 まず、意見募集の様子といいましょうか、結果と、それから前回、２月の部会でお示しした後の計画案からの変更点を中心に、事務局から、まずご説明いただきたいと思います。その上で、総合政策部会の委員の皆様から答申案についての審議ということをお願いしたいと思います。 それでは、資料１－１、続いて資料２－２まで、一連のたくさんの資料について、事務局からご説明をお願いできればと思います。よろしくお願いいたします。","まず、意見募集の様子といいましょうか、結果と、それから前回、２月の部会でお示しした後の計画案からの変更点を中心に、事務局から、まずご説明いただきたいと思います。","Yes","No",,"２月の部会で示した計画案からの変更点について説明を求めており、環境基本計画案の変更箇所への言及であるため。"
4,"min116-u3","#大倉課長","今、高村部会長からご紹介があったとおりでございますけれども、２月26日の総合政策部会でいただいたご意見を反映した上で、３月12日から30日間、パブリックコメントを行いまして、それに基づいて修正を施したものがお手元の答申案ということになってございます。 まず、資料１－１でございますけれども、パブリックコメントの概要ということでございます。資料１－２のほうに、いただいたご意見を全て、一覧表にまとめてございまして、それに対する個別の回答も記しておりますが、ちょっと時間の関係で資料１－１のほうで進めさせていただきます。 いただいたご意見の総数ですけど386件、関係ない意見が３件ございましたけれども、これは第五次環境基本計画のときよりも、およそ４倍ぐらいのご意見をいただいてございます。 主な意見をご紹介いたしますと、まず内容の充実を求めるご意見ということで、幾つか項目を挙げてございます。 例えば、ロシアによるウクライナ侵略を記述するのであれば、イスラエルによるガザの侵攻も記載すべきというご意見とか。 あと、ＴＮＦＤに関する記述の充実とか。 戦略アセスについても、もっと具体的に書きましょうとか。 気候変動訴訟についても、国外だけじゃなくて、国内でも起きているということをちゃんと書いてくださいとか。 国民参加も今回の大きなテーマだと我々は思ってございますけれども、その記述に対してより一層の記述、いわゆる仕組みづくりのところも書いてくださいというご意見もあったりいたしました。政策決定過程への国民参画の一層の推進というふうに記述を追加したりしておりますけれども、ご意見にあった個別の仕組みづくりは各政策で考えるということですので、そちらのほうで考えるというような回答をしてございます。","２月26日の総合政策部会でいただいたご意見を反映した上で、３月12日から30日間、パブリックコメントを行いまして、それに基づいて修正を施したものがお手元の答申案ということになってございます。","Yes","Yes",,"環境基本計画の案が、部会やパブリックコメントの意見を反映して修正されたことに言及しているため。『高村部会長からご紹介があったとおり』と他の委員の発言も参照している。"
5,"min116-u3","#大倉課長","今、高村部会長からご紹介があったとおりでございますけれども、２月26日の総合政策部会でいただいたご意見を反映した上で、３月12日から30日間、パブリックコメントを行いまして、それに基づいて修正を施したものがお手元の答申案ということになってございます。 まず、資料１－１でございますけれども、パブリックコメントの概要ということでございます。資料１－２のほうに、いただいたご意見を全て、一覧表にまとめてございまして、それに対する個別の回答も記しておりますが、ちょっと時間の関係で資料１－１のほうで進めさせていただきます。 いただいたご意見の総数ですけど386件、関係ない意見が３件ございましたけれども、これは第五次環境基本計画のときよりも、およそ４倍ぐらいのご意見をいただいてございます。 主な意見をご紹介いたしますと、まず内容の充実を求めるご意見ということで、幾つか項目を挙げてございます。 例えば、ロシアによるウクライナ侵略を記述するのであれば、イスラエルによるガザの侵攻も記載すべきというご意見とか。 あと、ＴＮＦＤに関する記述の充実とか。 戦略アセスについても、もっと具体的に書きましょうとか。 気候変動訴訟についても、国外だけじゃなくて、国内でも起きているということをちゃんと書いてくださいとか。 国民参加も今回の大きなテーマだと我々は思ってございますけれども、その記述に対してより一層の記述、いわゆる仕組みづくりのところも書いてくださいというご意見もあったりいたしました。政策決定過程への国民参画の一層の推進というふうに記述を追加したりしておりますけれども、ご意見にあった個別の仕組みづくりは各政策で考えるということですので、そちらのほうで考えるというような回答をしてございます。","いただいたご意見の総数ですけど386件、関係ない意見が３件ございましたけれども、これは第五次環境基本計画のときよりも、およそ４倍ぐらいのご意見をいただいてございます。","No","No",,"意見の件数や比較について述べているが、環境基本計画の文書の変更内容には言及していないため。"
6,"min116-u3","#大倉課長","今、高村部会長からご紹介があったとおりでございますけれども、２月26日の総合政策部会でいただいたご意見を反映した上で、３月12日から30日間、パブリックコメントを行いまして、それに基づいて修正を施したものがお手元の答申案ということになってございます。 まず、資料１－１でございますけれども、パブリックコメントの概要ということでございます。資料１－２のほうに、いただいたご意見を全て、一覧表にまとめてございまして、それに対する個別の回答も記しておりますが、ちょっと時間の関係で資料１－１のほうで進めさせていただきます。 いただいたご意見の総数ですけど386件、関係ない意見が３件ございましたけれども、これは第五次環境基本計画のときよりも、およそ４倍ぐらいのご意見をいただいてございます。 主な意見をご紹介いたしますと、まず内容の充実を求めるご意見ということで、幾つか項目を挙げてございます。 例えば、ロシアによるウクライナ侵略を記述するのであれば、イスラエルによるガザの侵攻も記載すべきというご意見とか。 あと、ＴＮＦＤに関する記述の充実とか。 戦略アセスについても、もっと具体的に書きましょうとか。 気候変動訴訟についても、国外だけじゃなくて、国内でも起きているということをちゃんと書いてくださいとか。 国民参加も今回の大きなテーマだと我々は思ってございますけれども、その記述に対してより一層の記述、いわゆる仕組みづくりのところも書いてくださいというご意見もあったりいたしました。政策決定過程への国民参画の一層の推進というふうに記述を追加したりしておりますけれども、ご意見にあった個別の仕組みづくりは各政策で考えるということですので、そちらのほうで考えるというような回答をしてございます。","主な意見をご紹介いたしますと、まず内容の充実を求めるご意見ということで、幾つか項目を挙げてございます。例えば、ロシアによるウクライナ侵略を記述するのであれば、イスラエルによるガザの侵攻も記載すべきというご意見とか。あと、ＴＮＦＤに関する記述の充実とか。戦略アセスについても、もっと具体的に書きましょうとか。気候変動訴訟についても、国外だけじゃなくて、国内でも起きているということをちゃんと書いてくださいとか。国民参加も今回の大きなテーマだと我々は思ってございますけれども、その記述に対してより一層の記述、いわゆる仕組みづくりのところも書いてくださいというご意見もあったりいたしました。","No","No",,"寄せられた意見の内容を紹介しているが、実際に文書がどう変更されたかには言及していないため。"
7,"min116-u3","#大倉課長","今、高村部会長からご紹介があったとおりでございますけれども、２月26日の総合政策部会でいただいたご意見を反映した上で、３月12日から30日間、パブリックコメントを行いまして、それに基づいて修正を施したものがお手元の答申案ということになってございます。 まず、資料１－１でございますけれども、パブリックコメントの概要ということでございます。資料１－２のほうに、いただいたご意見を全て、一覧表にまとめてございまして、それに対する個別の回答も記しておりますが、ちょっと時間の関係で資料１－１のほうで進めさせていただきます。 いただいたご意見の総数ですけど386件、関係ない意見が３件ございましたけれども、これは第五次環境基本計画のときよりも、およそ４倍ぐらいのご意見をいただいてございます。 主な意見をご紹介いたしますと、まず内容の充実を求めるご意見ということで、幾つか項目を挙げてございます。 例えば、ロシアによるウクライナ侵略を記述するのであれば、イスラエルによるガザの侵攻も記載すべきというご意見とか。 あと、ＴＮＦＤに関する記述の充実とか。 戦略アセスについても、もっと具体的に書きましょうとか。 気候変動訴訟についても、国外だけじゃなくて、国内でも起きているということをちゃんと書いてくださいとか。 国民参加も今回の大きなテーマだと我々は思ってございますけれども、その記述に対してより一層の記述、いわゆる仕組みづくりのところも書いてくださいというご意見もあったりいたしました。政策決定過程への国民参画の一層の推進というふうに記述を追加したりしておりますけれども、ご意見にあった個別の仕組みづくりは各政策で考えるということですので、そちらのほうで考えるというような回答をしてございます。","政策決定過程への国民参画の一層の推進というふうに記述を追加したりしておりますけれども、ご意見にあった個別の仕組みづくりは各政策で考えるということですので、そちらのほうで考えるというような回答をしてございます。","Yes","No",,"『政策決定過程への国民参画の一層の推進というふうに記述を追加した』と、具体的な文書の変更（記述の追加）について言及しているため。"
8,"min116-u3","#大倉課長","裏面へ行きまして、個別の修正に関わるご意見ではないですが、これも施策の参考というところになるご意見でございますが、環境人材の育成、人的資本投資、これも今回の大きなテーマの一つでございますが、それに対するご意見もございました。 あと、カーボンプライシングであるとか、石炭火力。第五次計画のときからの論点ではありますけれども、そういったものに対するご意見も幾つかございました。 また、再生可能エネルギー関連のご意見でございますけれども、従来どおり、もっと増やすべしというご意見もございましたが、最近問題になっているとおり、今回も新しく次世代戦略の中でパラグラフを立ててございますが、特に生物多様性、自然共生との、いわゆるトレードオフの回避といったところのご意見も幾つかあったのは今回特徴的だったかなと思ってございます。 加えて、化学物質管理に関してのご意見が件数的にはかなりございまして、いわゆる日常生活に関わる化学物質の管理に関するご意見、例えば香害に関するご意見が多数ありました。 こういったところを個別にご説明するのは非常に難しいと思ってございますが、資料２－２で見え消しのほうを記載してございます。ぱらぱらとめくっていただけるとお分かりのとおり、ある種の修正にとどまっていまして、計画の核心的な部分といいますか、今回のウェルビーイング、高い生活の質を最上位に置いた、国民一人一人のウェルビーイングなどをちゃんと向上させることを最上位に置いた環境危機への対処、新たな文明の構築、社会変革を果たすといったような大きなストーリーに関するご意見といいますか、そういったところに対する修正はなかったということになってございます。","資料２－２で見え消しのほうを記載してございます。ぱらぱらとめくっていただけるとお分かりのとおり、ある種の修正にとどまっていまして、計画の核心的な部分といいますか、今回のウェルビーイング、高い生活の質を最上位に置いた、国民一人一人のウェルビーイングなどをちゃんと向上させることを最上位に置いた環境危機への対処、新たな文明の構築、社会変革を果たすといったような大きなストーリーに関するご意見といいますか、そういったところに対する修正はなかったということになってございます。","Yes","No","資料２－２（見え消し版）","資料２－２（見え消し版）に修正箇所が記載されていること、修正は『ある種の修正にとどまって』おり、『大きなストーリーに関する修正はなかった』と明言しているため。"
9,"min116-u3","#大倉課長","修正したところについては、今ご紹介したところ以外については別途、同時に循環部会のほうで進行しています循環型社会形成推進協議計画との表現の統一であるとか、数字的な修正であるとか、前回、武内委員からご指摘のあった脚注の精査というところを中心に修正しておりまして、今申し上げたとおり、２月26日にご議論いただいて、その結果を反映したものから、重要な核心的なところといいますか、全体のストーリーに関わるところの修正はなかったということになってございます。 それを反映したものが資料２－１のほうでありまして、今回、答申案という形でご提示させていただいてございます。 以上です。","修正したところについては、今ご紹介したところ以外については別途、同時に循環部会のほうで進行しています循環型社会形成推進協議計画との表現の統一であるとか、数字的な修正であるとか、前回、武内委員からご指摘のあった脚注の精査というところを中心に修正しておりまして、","Yes","Yes",,"環境基本計画の案の修正内容（表現の統一、数字的修正、脚注の精査）について具体的に言及しており、他の委員（武内委員）の指摘にも触れているため。"
10,"min116-u3","#大倉課長","修正したところについては、今ご紹介したところ以外については別途、同時に循環部会のほうで進行しています循環型社会形成推進協議計画との表現の統一であるとか、数字的な修正であるとか、前回、武内委員からご指摘のあった脚注の精査というところを中心に修正しておりまして、今申し上げたとおり、２月26日にご議論いただいて、その結果を反映したものから、重要な核心的なところといいますか、全体のストーリーに関わるところの修正はなかったということになってございます。 それを反映したものが資料２－１のほうでありまして、今回、答申案という形でご提示させていただいてございます。 以上です。","今申し上げたとおり、２月26日にご議論いただいて、その結果を反映したものから、重要な核心的なところといいますか、全体のストーリーに関わるところの修正はなかったということになってございます。","Yes","No",,"環境基本計画の案のうち、全体のストーリーや核心的な部分については修正がなかったことを明言しているため。"
