id	section	before	after	(文言修正/)意味	見え消し	パブコメ	議事録	コメント
1	2-3-1-1	IPCC 第六次評価報告書統合報告書	IPCC 第６次評価報告書統合報告書	FALSE				
2	2-3-1-1	地球温暖化対策計画（2021 年10 月閣議決定）	地球温暖化対策計画	FALSE				
3	2-3-1-1	脱炭素成長型経済構造移行推進戦略（GX 推進戦略）（2023 年７月閣議決定）	GX 推進戦略	FALSE				
4	2-3-1-1	省エネ	省エネルギー	FALSE				
5	2-3-1-1	再エネ	再生可能エネルギー	FALSE				
6	2-3-1-1	GX 経済移行債	以下「GX経済移行債」という。	FALSE				
7	2-3-1-2	IPCC 第六次評価報告書統合報告書	IPCC 第６次評価報告書統合報告書	FALSE				
8	2-3-1-2	適応計画	気候変動適応計画（以下「適応計画」という。）	FALSE				
9	2-3-1-2	防災	健康、防災・減災	TRUE	TRUE	279		
10	2-3-2	循環型社会形成推進基本法（平成 12 年法律第 110 号）	循環型社会形成推進基本法	FALSE				
11	2-3-2-2	動静脈連携	資源循環のための事業者間連携	TRUE	TRUE			
12	2-3-2-2		そして、循環型社会の実現に向け て、産官学連携を推進して、経済安全保障の確保や脱炭素の実現にも貢献する動脈産業の資源循環の促進に係る取組を進めるとともに、静脈産業の脱炭素型資源循環システムを構築する。	TRUE	TRUE			見え消しでは消されている部分があることになっている
13	2-3-2-4		また、動静脈連携を促進するための資源循環情報の把握や、各種デジタル技術を活用した情報基盤を整備する。	TRUE			min115-u21	
14	2-3-2-4	３Ｒ+Renewable を徹底し、これを徹底した後に	３Ｒ+Renewable、焼却時における熱回収の順にできる限り循環的な利用を行い、これらを徹底した後に	TRUE			min115-u53	
15	2-3-2-5	また、国際機関や民間企業等と連携し、バリューチェーンや組織レベルでの循環性等の国際的なルール形成をリードする。	また、循環経済の推進に当たっては、国ごとに制度や社会インフラの整備状況が異なるため、CEREP 等に基づく官民対話159等を通じた各国間での情報共有や相互理解を深めるとともに、国際機関や民間企業等と連携し、バリューチェーンや組織レベルでの循環性等の国際的なルール形成をリードする。	TRUE			min115-u53	
16	2-3-3	生物多様性国家戦略2023-2030	「生物多様性国家戦略2023-2030」（令和５年３月 31 日閣議決定）	FALSE				
17	2-3-3	のっとり	則り	FALSE				
18	2-3-3	各種施策を進めていくことで、		FALSE				
19	2-3-3	その際、	ネイチャーポジティブの実現に向けては、人類存続の基盤としての健全な生態系を確保し、自然の恵みを維持し回復させ、自然資本を守り活かす社会経済活動を広げるために、これまでの生物多様性保全施策に加えて気候変動や資源循環等の様々な分野の施策と連携し、以下の五つの基本戦略に沿って取り組んでいくとともに、	TRUE			min115-u15	議事録対応自信なし
20	2-3-3		また、昆明・モントリオール生物多様性枠組に基づくレビューメカニズムに関する国際的な議論の動向等を踏まえて、本戦略で設定した状態目標や行動目標の達成状況を評価していく。	TRUE				不明
21	2-3-3-3	また、ESG 金融等を通じて、生物多様性・自然資本に関わるリスク・機会を組み込んだ経済への移行を実現し、ビジネスがネイチャーポジティブ実現のドライバーとなるための施策について実施する。	また、ESG 金融等を通じて、生物多様性・自然資本に関わるリスク・機会を組み込んだ経済への移行を実現し、ビジネスがネイチャーポジティブ実現のドライバーとなるための施策について、ネイチャーポジティブ経済移行戦略を踏まえて実施する。	TRUE	TRUE			
22	2-3-4-1-1	「大気汚染防止法」、「水質汚濁防止法」、「土壌汚染対策法」等関連法令	大気汚染防止法、水質汚濁防止法、土壌汚染対策法等関連法令	FALSE	TRUE			
